address,type,value,xref_count,first_xref
"1411af332","unicode","result=%d SessionId=%d",0,""
"1411af3b2","unicode","NewLobbyId=0x%I64x SessionId=%d",0,""
"1411af49e","unicode"," SessionId=%d",0,""
"1411af57a","unicode"," SessionId=%d",0,""
"1411af5d4","unicode","steamId=0x%I64x SessionId=%d",0,""
"1411af64e","unicode"," SessionId=%d",0,""
"1411af6d6","unicode"," SessionId=%d",0,""
"1411af78a","unicode"," SessionId=%d",0,""
"1411af83c","unicode","SessionId=%d",0,""
"1411af892","unicode","LobbyId=0x%I64x SessionId=%d",0,""
"1411af90a","unicode","SessionId=%d",0,""
"1411af97e","unicode","Size=%d SessionId=%d",0,""
"1411af9e0","unicode"," SessionId=%d",0,""
"1411afa40","unicode","Size=%d SessionId=%d",0,""
"1411afab6","unicode","SessionId=%d",0,""
"1411afad0","unicode","..\..\source\matching\steam\SteamSessionLight.cpp",1,"140a71ef6"
"1411afbf2","unicode"," SessionId=%d",0,""
"1411afc74","unicode","TicketSize=%d Result=%d SessionId=%d",0,""
"1411afd1c","unicode","TicketSize=%d SessionId=%d",0,""
"1411afde2","unicode","result=%d SessionId=%d",0,""
"1411afe76","unicode","LobbyId=0x%I64x JoinedLobbyId=0x%I64x SessionId=%d",0,""
"1411aff12","unicode","LobbyId=0x%I64x SessionId=%d",0,""
"1411affde","unicode"," SessionId=%d",0,""
"1411b00aa","unicode"," SessionId=%d",0,""
"1411b00d0","unicode","SteamMatchmaking()->CreateLobby(k_ELobbyTypePublic,%d)=0x%I64x",1,"140a72d76"
"1411b01c4","unicode","steamId=0x%I64x",0,""
"1411b0200","unicode","SteamMatchmaking()->JoinLobby(0x%I64x)=0x%I64x",1,"140a731e4"
"1411b029e","unicode"," SessionId=%d",0,""
"1411b0306","unicode"," SessionId=%d",0,""
"1411b0362","unicode","Player=%s SteamId=0x%I64x SessionId=%d",0,""
